nt,n_noise,hour0_train_time_sec,autoregressive_train_time_sec,total_train_time_sec,synth_accuracy,synth_balanced_accuracy,synth_f1,synth_roc_auc,real_accuracy,real_balanced_accuracy,real_f1,real_roc_auc,los_synth_accuracy,los_synth_macro_f1,los_synth_roc_auc,los_real_accuracy,los_real_macro_f1,los_real_roc_auc,avg_ks_stat,corr_frobenius,range_violation_pct,autocorr_distance,stay_length_ks,transition_mse_ratio,temporal_corr_drift,dcr_median,dcr_p05,dcr_exact_match_rate,dcr_baseline_protection,dcr_overfitting_protection,dcr_closer_to_training_pct,mia_roc_auc,mia_average_precision,mia_attacker_advantage,trajectory_seed_count,synth_accuracy_std,synth_accuracy_ci95,synth_balanced_accuracy_std,synth_balanced_accuracy_ci95,synth_f1_std,synth_f1_ci95,synth_roc_auc_std,synth_roc_auc_ci95,los_synth_accuracy_std,los_synth_accuracy_ci95,los_synth_macro_f1_std,los_synth_macro_f1_ci95,avg_ks_stat_std,avg_ks_stat_ci95,corr_frobenius_std,corr_frobenius_ci95,range_violation_pct_std,range_violation_pct_ci95,autocorr_distance_std,autocorr_distance_ci95,stay_length_ks_std,stay_length_ks_ci95,transition_mse_ratio_std,transition_mse_ratio_ci95,temporal_corr_drift_std,temporal_corr_drift_ci95,dcr_median_std,dcr_median_ci95,dcr_baseline_protection_std,dcr_baseline_protection_ci95,mia_roc_auc_std,mia_roc_auc_ci95,degenerate_flag,timestamp,error
1,1,2.2,30.3,32.4,0.2801,0.5311,0.236,0.566,0.7955,0.6738,0.3913,0.7784,0.2857,0.2222,0.5226,0.6022,0.5203,0.5587,0.6705,10.2949,39.57,0.5024,0.0,0.8365,0.4135,2.641271,2.060654,0.0,0.902482,0.823667,0.588167,0.855386,0.763141,0.0,3,0.204865,0.508913,0.041737,0.10368,0.017795,0.044205,0.052046,0.129288,0.0,0.0,0.0,0.0,0.000569,0.001414,0.002526,0.006274,0.006928,0.01721,0.003703,0.0092,0.0,0.0,0.001258,0.003125,0.003698,0.009187,0.036424,0.090482,0.008298,0.020613,0.004082,0.010141,0,2026-04-22T16:02:10.675566,
1,2,2.7,54.7,57.4,0.1261,0.5,0.2239,0.5,0.7955,0.6738,0.3913,0.778,0.7143,0.4167,0.498,0.6022,0.5203,0.5584,0.6682,10.5295,40.46,0.578,0.0,1.0143,0.4854,2.539961,2.026682,0.0,0.867879,0.820333,0.586667,0.856048,0.763243,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000347,0.000861,0.007081,0.017591,0.018772,0.046633,0.000363,0.000902,0.0,0.0,0.001907,0.004736,0.00504,0.012519,0.028808,0.071563,0.007251,0.018013,0.006087,0.01512,0,2026-04-22T16:03:44.175583,
1,3,3.2,77.0,80.2,0.1429,0.4811,0.2153,0.5175,0.7955,0.6738,0.3913,0.7784,0.7143,0.4167,0.5,0.6022,0.5203,0.5592,0.6778,10.9467,41.3,0.5674,0.0,0.988,0.3539,2.53257,2.034561,0.0,0.865357,0.795667,0.602167,0.855612,0.762792,0.0,3,0.022233,0.05523,0.033356,0.082862,0.013531,0.033613,0.080006,0.198746,0.0,0.0,0.0,0.0,0.000325,0.000808,0.005708,0.014178,0.015006,0.037278,0.001164,0.00289,0.0,0.0,0.001558,0.003871,0.001844,0.004582,0.023799,0.059121,0.005571,0.013838,0.005253,0.013049,0,2026-04-22T16:05:40.586986,
1,5,4.2,126.1,130.3,0.4986,0.5515,0.2636,0.5474,0.7955,0.6738,0.3913,0.7782,0.4006,0.3719,0.5446,0.6022,0.5203,0.5587,0.6913,10.9729,42.07,0.5535,0.0,0.8245,0.4329,2.596322,2.083203,0.0,0.887124,0.873333,0.557333,0.856598,0.764621,0.0,3,0.307881,0.764819,0.091624,0.227607,0.082813,0.205719,0.092856,0.230667,0.116541,0.289505,0.12263,0.30463,0.000398,0.00099,0.013418,0.033332,0.032216,0.080029,0.001185,0.002945,0.0,0.0,0.000485,0.001204,0.004392,0.01091,0.03528,0.08764,0.008032,0.019953,0.005107,0.012687,0,2026-04-22T16:08:27.572872,
1,8,5.7,195.0,200.7,0.7367,0.6497,0.289,0.7083,0.7955,0.6738,0.3913,0.778,0.7199,0.4371,0.5098,0.5994,0.5152,0.5585,0.6821,10.9156,43.81,0.5622,0.0,1.0052,0.5435,2.519244,2.047924,0.0,0.860792,0.788667,0.605667,0.856087,0.763561,0.0,3,0.151571,0.376524,0.100897,0.250643,0.144978,0.360145,0.075295,0.187044,0.004852,0.012052,0.017681,0.043921,0.000169,0.00042,0.011352,0.028199,0.021495,0.053397,0.002147,0.005333,0.0,0.0,0.002638,0.006552,0.007596,0.01887,0.034392,0.085434,0.008585,0.021327,0.004903,0.012181,0,2026-04-22T16:12:24.611333,
1,13,7.9,310.1,318.0,0.1232,0.4794,0.2154,0.4738,0.7955,0.6738,0.3913,0.7778,0.5658,0.5167,0.5276,0.6022,0.5203,0.5589,0.6905,10.9498,45.61,0.5565,0.0,0.9447,0.4115,2.602211,2.096815,0.0,0.889136,0.857667,0.571167,0.856451,0.763902,0.0,3,0.004852,0.012052,0.035714,0.088719,0.014669,0.03644,0.032007,0.07951,0.10574,0.262673,0.067527,0.167746,0.000621,0.001542,0.004322,0.010736,0.023502,0.058383,0.00366,0.009092,0.0,0.0,0.002882,0.007159,0.00164,0.004074,0.035905,0.089194,0.008361,0.02077,0.005572,0.013842,0,2026-04-22T16:18:18.597652,
1,21,11.9,494.4,506.3,0.1345,0.4858,0.2175,0.487,0.7983,0.6754,0.3937,0.7778,0.7115,0.4422,0.5195,0.6022,0.5203,0.5582,0.6908,10.8006,44.08,0.4342,0.0,0.9574,0.446,2.63869,2.111114,0.0,0.901614,0.877333,0.551167,0.856516,0.764369,0.0,3,0.008403,0.020875,0.028875,0.07173,0.012498,0.031046,0.026847,0.066692,0.012836,0.031887,0.030563,0.075922,0.000436,0.001082,0.004834,0.012008,0.019851,0.049314,0.000419,0.001042,0.0,0.0,0.001513,0.003759,0.007849,0.019497,0.023856,0.059261,0.004366,0.010845,0.004881,0.012124,0,2026-04-22T16:27:21.192038,
2,1,2.5,32.0,34.5,0.6275,0.5396,0.227,0.5785,0.7955,0.6738,0.3913,0.7778,0.6835,0.4247,0.5076,0.6022,0.5203,0.5586,0.6478,9.3328,21.06,0.2944,0.0,1.3538,0.0512,1.715814,1.410341,0.0,0.586305,0.711333,0.644,0.856473,0.766845,0.000667,3,0.254517,0.632255,0.034841,0.086549,0.027637,0.068654,0.024891,0.061832,0.017493,0.043455,0.045824,0.113832,0.000331,0.000823,0.056329,0.13993,0.01712,0.042529,0.009281,0.023054,0.0,0.0,0.00642,0.015948,0.00096,0.002386,0.012648,0.031419,0.00702,0.017439,0.00516,0.012819,0,2026-04-22T16:28:54.683830,
2,2,3.3,57.6,60.9,0.8431,0.606,0.3222,0.6889,0.7955,0.6738,0.3913,0.7782,0.7171,0.4359,0.5109,0.6022,0.5203,0.5582,0.6444,8.892,26.12,0.3826,0.0,1.4587,0.1178,1.805998,1.499124,0.0,0.617121,0.694667,0.652667,0.858866,0.768074,0.000667,3,0.037893,0.094131,0.026372,0.065513,0.056313,0.13989,0.04723,0.117326,0.004852,0.012052,0.016722,0.04154,0.00057,0.001415,0.017148,0.042598,0.02105,0.052292,0.007802,0.019381,0.0,0.0,0.004655,0.011563,0.002423,0.006019,0.012223,0.030365,0.007021,0.017441,0.003153,0.007832,0,2026-04-22T16:30:53.635113,
2,3,3.9,82.2,86.2,0.1485,0.4653,0.2081,0.484,0.7955,0.6738,0.3913,0.7778,0.2969,0.2567,0.5174,0.6022,0.5203,0.5587,0.6472,8.951,27.09,0.3415,0.0,1.3261,0.2861,1.804449,1.495776,0.0,0.616584,0.696667,0.651667,0.856531,0.766096,0.000333,3,0.004852,0.012052,0.045708,0.113545,0.019482,0.048397,0.103384,0.25682,0.012836,0.031887,0.027084,0.06728,0.000778,0.001933,0.01968,0.048887,0.063939,0.158832,0.001207,0.002998,0.0,0.0,0.016347,0.040607,0.006136,0.015243,0.005419,0.013461,0.004686,0.01164,0.00528,0.013116,0,2026-04-22T16:33:20.431182,
2,5,5.1,131.4,136.5,0.2885,0.5454,0.2512,0.5726,0.7955,0.6738,0.3913,0.7784,0.2857,0.2317,0.5304,0.5994,0.5152,0.5587,0.6516,9.0728,26.17,0.3714,0.0,1.5912,0.1335,1.764003,1.44566,0.0,0.602764,0.688,0.656,0.856118,0.766019,0.000667,3,0.266843,0.662874,0.096087,0.238693,0.054956,0.136517,0.126252,0.313627,0.008403,0.020875,0.021024,0.052226,0.000847,0.002103,0.018425,0.045769,0.072771,0.180774,0.001734,0.004308,0.0,0.0,0.004133,0.010266,0.003152,0.007831,0.007173,0.017819,0.004867,0.012089,0.005246,0.013031,0,2026-04-22T16:36:35.544970,
2,8,6.6,206.0,212.7,0.1429,0.4906,0.2192,0.483,0.7955,0.6738,0.3913,0.7776,0.4482,0.4187,0.5605,0.6022,0.5203,0.5586,0.6427,9.0751,24.98,0.4064,0.0,1.9151,0.2453,1.76825,1.45038,0.0,0.604219,0.683667,0.658167,0.856409,0.765251,0.000667,3,0.008403,0.020875,0.033288,0.082691,0.014055,0.034915,0.030941,0.076861,0.082906,0.205949,0.132188,0.328372,0.000868,0.002155,0.033857,0.084105,0.054564,0.135545,0.003241,0.008051,0.0,0.0,0.009985,0.024804,0.005231,0.012994,0.010949,0.027199,0.006297,0.015641,0.005469,0.013585,0,2026-04-22T16:41:05.652038,
2,13,9.4,566.9,576.3,0.4874,0.6497,0.3013,0.7256,0.7955,0.6738,0.3913,0.7786,0.2913,0.2491,0.5253,0.6022,0.5203,0.5588,0.651,8.8032,25.16,0.3281,0.0,1.7104,0.1603,1.761826,1.461313,0.0,0.602027,0.711,0.6445,0.856159,0.76603,0.000333,3,0.081039,0.201312,0.097564,0.242362,0.059076,0.146752,0.052114,0.129457,0.017493,0.043455,0.026316,0.065373,0.000475,0.00118,0.013309,0.033061,0.142749,0.354609,0.004229,0.010506,0.0,0.0,0.005407,0.013432,0.000722,0.001794,0.015075,0.03745,0.007599,0.018877,0.003448,0.008564,0,2026-04-22T16:51:39.318651,
2,21,13.5,645.7,659.2,0.1569,0.4891,0.2176,0.5104,0.7955,0.6738,0.3913,0.7778,0.2941,0.2423,0.5232,0.6022,0.5203,0.5586,0.6548,9.3115,27.61,0.2828,0.0,1.1495,0.5135,1.823931,1.524263,0.0,0.623244,0.693,0.6535,0.85692,0.766085,0.000667,3,0.039713,0.098652,0.027624,0.068621,0.0139,0.03453,0.054181,0.134594,0.014555,0.036157,0.019316,0.047983,0.000416,0.001034,0.029273,0.072718,0.069597,0.172888,0.003672,0.009122,0.0,0.0,0.004502,0.011183,0.009837,0.024438,0.013974,0.034713,0.006897,0.017132,0.005315,0.013204,0,2026-04-22T17:03:36.626374,
3,1,2.6,42.8,45.4,0.7871,0.5454,0.1949,0.5582,0.7983,0.6754,0.3937,0.7771,0.7087,0.4788,0.5685,0.6022,0.5203,0.5585,0.5981,8.2734,12.63,0.3825,0.0,2.0691,0.0543,1.394629,1.152722,0.0,0.476571,0.648,0.676,0.854598,0.76773,0.001,3,0.067924,0.168731,0.046925,0.116567,0.097133,0.241292,0.099748,0.247788,0.009703,0.024104,0.067298,0.167178,0.000308,0.000765,0.026473,0.065762,0.020736,0.051511,0.005205,0.01293,0.0,0.0,0.003702,0.009197,0.003272,0.008128,0.032448,0.080605,0.01291,0.03207,0.002732,0.006788,0,2026-04-22T17:05:41.259656,
3,2,3.3,157.9,161.3,0.8543,0.5744,0.249,0.6849,0.7983,0.6754,0.3937,0.778,0.5826,0.4923,0.626,0.6022,0.5203,0.5587,0.6041,8.8297,10.66,0.3422,0.0,1.9061,0.0377,1.412048,1.15755,0.0,0.48252,0.625667,0.687167,0.854822,0.766998,0.001333,3,0.021148,0.052535,0.064993,0.161452,0.143303,0.355984,0.090767,0.225479,0.072451,0.179978,0.133539,0.331728,0.000444,0.001103,0.016424,0.0408,0.035733,0.088767,0.002021,0.00502,0.0,0.0,0.003648,0.009062,0.004958,0.012316,0.02417,0.060042,0.010419,0.025882,0.003096,0.00769,0,2026-04-22T17:10:35.367746,
3,3,9.7,226.1,235.8,0.7787,0.6452,0.3459,0.7429,0.7955,0.6738,0.3913,0.7788,0.2857,0.23,0.5317,0.6022,0.5203,0.5586,0.602,8.519,12.55,0.4593,0.0,2.4884,0.0836,1.412859,1.17003,0.0,0.482795,0.642,0.679,0.855975,0.767837,0.001,3,0.050653,0.125829,0.046633,0.115843,0.049047,0.121841,0.038717,0.096179,0.016807,0.04175,0.018117,0.045005,0.000955,0.002373,0.025713,0.063874,0.110845,0.275353,0.001222,0.003035,0.0,0.0,0.002711,0.006735,0.003621,0.008995,0.029217,0.07258,0.011692,0.029044,0.003092,0.007681,0,2026-04-22T17:16:43.497944,
3,5,13.0,408.0,421.0,0.8459,0.5981,0.2608,0.7214,0.7955,0.6738,0.3913,0.7778,0.2773,0.2247,0.5111,0.6022,0.5203,0.5586,0.6034,8.6565,13.34,0.4498,0.0,2.4706,0.0859,1.376248,1.154869,0.0,0.470283,0.592667,0.703667,0.856123,0.769212,0.000667,3,0.004852,0.012052,0.102219,0.253927,0.230543,0.572701,0.075195,0.186795,0.008403,0.020875,0.005374,0.013349,0.000793,0.001969,0.000382,0.000948,0.147913,0.367435,0.002523,0.006266,0.0,0.0,0.009681,0.024048,0.002275,0.005651,0.028083,0.069762,0.011195,0.02781,0.003703,0.009198,0,2026-04-22T17:26:12.517441,
3,8,19.6,606.4,626.0,0.8824,0.5904,0.2686,0.7917,0.7955,0.6738,0.3913,0.778,0.7115,0.4664,0.5256,0.6022,0.5203,0.5586,0.6038,8.2029,8.3,0.4743,0.0,2.1954,0.069,1.358029,1.139266,0.0,0.464066,0.542667,0.728667,0.855502,0.767561,0.001,3,0.022233,0.05523,0.078308,0.194527,0.233289,0.579522,0.065123,0.161775,0.021148,0.052535,0.033152,0.082355,0.00099,0.00246,0.015563,0.03866,0.090922,0.225862,0.001998,0.004962,0.0,0.0,0.011199,0.027819,0.001131,0.002809,0.029751,0.073905,0.01215,0.030181,0.003406,0.008462,0,2026-04-22T17:39:09.734666,
3,13,23.4,870.2,893.6,0.8627,0.6077,0.3159,0.677,0.7955,0.6738,0.3913,0.7788,0.4118,0.3895,0.5362,0.6022,0.5203,0.5587,0.6025,8.7476,10.7,0.4754,0.0,2.4472,0.0993,1.38304,1.164935,0.0,0.472612,0.553333,0.723333,0.855511,0.766724,0.001,3,0.012836,0.031887,0.052538,0.130511,0.103742,0.25771,0.02645,0.065706,0.081039,0.201312,0.067264,0.167094,0.000658,0.001635,0.01662,0.041286,0.115733,0.287497,0.005169,0.01284,0.0,0.0,0.014488,0.03599,0.001117,0.002775,0.032144,0.079851,0.012823,0.031854,0.003798,0.009434,0,2026-04-22T18:14:43.638418,
